AX: -0.64, AY: -2.94, AZ: -0.04, GX: -2319.00, GY: 482.00, GZ: 32767.00

AX: -0.89, AY: -2.63, AZ: -0.05, GX: -2320.00, GY: 480.00, GZ: 32767.00

AX: -1.01, AY: -2.27, AZ: -0.06, GX: -2320.00, GY: 478.00, GZ: 32767.00

AX: -0.99, AY: -1.91, AZ: -0.05, GX: -2323.00, GY: 468.00, GZ: 32767.00

AX: -0.84, AY: -1.57, AZ: -0.05, GX: -2321.00, GY: 471.00, GZ: 32767.00

AX: -0.57, AY: -1.34, AZ: -0.04, GX: -2321.00, GY: 466.00, GZ: 32767.00

AX: -0.24, AY: -1.21, AZ: -0.04, GX: -2313.00, GY: 460.00, GZ: 32767.00

AX: 0.15, AY: -1.24, AZ: -0.03, GX: -2316.00, GY: 465.00, GZ: 32767.00

AX: 0.50, AY: -1.39, AZ: -0.02, GX: -2310.00, GY: 460.00, GZ: 32767.00

AX: 0.77, AY: -1.67, AZ: -0.01, GX: -2313.00, GY: 460.00, GZ: 32767.00

